Ticker,date,Open,High,Low,Close,Volume,Adj.Close,Dollar.chg,Pct.chg,Volatility,RISE
CCI,3/22/2017,90.970001,91.809998,90.440002,91.720001,3937300,91.720001,0.75,0.008244476,0.01493672,1
CCI,3/23/2017,91.660004,93.269997,91.440002,93,2405400,93,1.339996,0.014619201,0.019677366,1
CCI,3/24/2017,93.089996,93.949997,92.790001,93.68,2148400,93.68,0.590004,0.006337996,0.012382536,1
GLW,3/15/2017,27,27.41,26.969999,27.23,6106900,27.23,0.23,0.008518519,0.016158685,1
GLW,3/16/2017,27.42,27.49,27.24,27.280001,4815900,27.280001,-0.139999,-0.005105726,0.009164223,0
GLW,3/17/2017,27.299999,27.309999,27.17,27.24,9658900,27.24,-0.059999,-0.002197766,0.005139464,0
GLW,3/20/2017,27.309999,27.540001,27.25,27.299999,4570000,27.299999,-0.01,-0.000366166,0.010622748,0
GLW,3/21/2017,27.41,27.68,26.790001,26.870001,6157600,26.870001,-0.539999,-0.019700803,0.033122403,0
GLW,3/22/2017,26.870001,27.450001,26.870001,27.35,5614000,27.35,0.479999,0.017863751,0.021206581,1
GLW,3/23/2017,27.33,27.559999,27.280001,27.34,5271100,27.34,0.01,0.000365898,0.010241331,1
GLW,3/24/2017,27.440001,27.58,27.26,27.41,4415900,27.41,-0.030001,-0.001093331,0.011674571,0
FE,3/15/2017,31.09,31.709999,31.02,31.59,3887600,31.59,0.5,0.016082342,0.021842324,1
FE,3/16/2017,31.469999,31.58,31,31.129999,3836700,31.129999,-0.34,-0.010803941,0.018631546,0
FE,3/17/2017,31.219999,31.48,31.190001,31.360001,8577600,31.360001,0.140002,0.004484369,0.009247417,1
FE,3/20/2017,31.200001,31.42,30.870001,30.959999,3884800,30.959999,-0.240002,-0.007692372,0.017764826,0
FE,3/21/2017,30.93,31.5,30.809999,31.360001,4356200,31.360001,0.430001,0.013902392,0.022002582,1
FE,3/22/2017,31.5,31.809999,31.360001,31.41,4155600,31.41,-0.09,-0.002857143,0.014326584,0
FE,3/23/2017,31.389999,31.5,31.110001,31.200001,2759300,31.200001,-0.189998,-0.00605282,0.012499968,0
FE,3/24/2017,31.4,31.530001,31.24,31.34,3158200,31.34,-0.06,-0.001910828,0.009253382,0
EW,3/15/2017,93.93,94.480003,93.629997,93.949997,1547700,93.949997,0.019997,0.000212893,0.00904743,1
EW,3/16/2017,93.949997,94.360001,92.639999,92.949997,1264100,92.949997,-1,-0.01064396,0.018504594,0
EW,3/17/2017,92.75,95.790001,91.300003,94.400002,2997600,94.400002,1.650002,0.017789779,0.047563537,1
