"Ticker","date","Open","High","Low","Close","Volume","Adj.Close","Dollar.chg","Pct.chg","Volatility","RISE","favoriteCount","retweetCount","Score","Positive","Negative","Tweet_Total_Count"
"ADM","2017-03-27",45.43,45.68,45.099998,45.349998,1792400,45.349998,-0.0800020000000004,-0.00176099493726613,0.0127894603214757,0,0,6,0,0,0,19
"ADP","2017-03-20",105.169998,105.18,104.220001,104.449997,1268100,104.449997,-0.720001000000011,-0.00684606840060994,0.00919099116872172,0,1,0,-3,2,5,16
"ADP","2017-03-21",104.900002,104.959999,102.989998,103.120003,1590800,103.120003,-1.779999,-0.0169685316116582,0.0191039656971305,0,9,18,2,4,2,27
"ADP","2017-03-22",103.349998,103.739998,102.889999,103.68,2010300,103.68,0.330002000000007,0.00319305279522122,0.00819829282407404,1,18,20,-1,4,5,24
"ADP","2017-03-23",103.489998,104.25,103.099998,103.519997,994200,103.519997,0.0299990000000037,0.000289873423323514,0.0111089840931893,1,0,2,2,2,0,13
"ADP","2017-03-27",102.730003,103.260002,102.370003,102.910004,1504500,102.910004,0.180001000000004,0.00175217555478904,0.00864832344190758,1,0,3,0,1,1,5
"ADS","2017-03-20",245.520004,246.020004,243.399994,244.539993,504100,244.539993,-0.98001099999999,-0.0039915729229134,0.0107140348204721,0,0,0,4,4,0,14
"ADS","2017-03-21",244.210007,246.039993,239.009995,239.289993,693600,239.289993,-4.92001399999998,-0.020146651893753,0.0293785707954783,0,0,6,1,2,1,18
"ADS","2017-03-22",239.449997,242.240005,239.009995,240.869995,333100,240.869995,1.41999799999999,0.00593024856041235,0.013409764881674,1,4,9,1,4,3,20
"ADS","2017-03-23",240.899994,244.779999,240.649994,242.919998,372200,242.919998,2.020004,0.00838523889710018,0.0170015026922568,1,1,1,-4,2,6,16
"ADS","2017-03-27",241.410004,244.330002,238.600006,243.429993,616400,243.429993,2.01998900000001,0.00836746185547476,0.0235385785021158,1,0,0,0,1,1,14
"ADSK","2017-03-20",86.290001,86.480003,85.589996,86.32,1167600,86.32,0.0299989999999895,0.00034765325822617,0.0103105537534754,1,3,0,0,0,0,14
"ADSK","2017-03-21",86.5,86.639999,83.529999,83.639999,2548700,83.639999,-2.860001,-0.0330635953757225,0.0371831663938686,0,8,2,3,5,2,31
"ADSK","2017-03-22",83.900002,84.720001,83.07,84.599998,1561500,84.599998,0.699995999999999,0.00834321791792089,0.0195035583806988,1,12,5,-1,4,5,17
"ADSK","2017-03-23",84.610001,86.07,84.239998,85.690002,2230400,85.690002,1.08000100000001,0.0127644603148038,0.0213560737225796,1,9,32,2,3,1,15
"ADSK","2017-03-27",85.410004,86.059998,83.809998,85.440002,1774200,85.440002,0.0299980000000062,0.000351223493678869,0.0263342690464825,1,0,0,0,0,0,1
"AEE","2017-03-20",55.060001,55.23,54.52,54.689999,1355600,54.689999,-0.370001999999999,-0.00671997808354561,0.0129822639053256,0,0,0,0,1,1,2
"AEE","2017-03-21",54.610001,55.610001,54.610001,55.490002,1367600,55.490002,0.880001,0.0161142828032543,0.0180212644432775,1,0,81,2,2,0,3
"AEE","2017-03-22",55.740002,56.200001,55.549999,56.040001,1771800,56.040001,0.299999,0.00538211319045162,0.0115988934404195,1,0,0,0,0,0,3
"AEE","2017-03-23",55.860001,56.5,55.810001,56.049999,1838900,56.049999,0.189998000000003,0.00340132467953237,0.0123104194881431,1,1,0,1,2,1,8
"AEE","2017-03-27",56.419998,56.57,55.970001,56.049999,1080600,56.049999,-0.369999,-0.00655794067911878,0.0107047102712704,0,0,0,0,0,0,2
"AEP","2017-03-20",66.620003,66.860001,65.989998,66.129997,1817700,66.129997,-0.490005999999994,-0.00735523833584928,0.013155950997548,0,1,0,0,1,1,5
"AEP","2017-03-21",66.099998,67.220001,66.089996,66.980003,3150800,66.980003,0.880004999999997,0.0133132379217318,0.0168707815674478,1,1,1,0,4,4,5
"AEP","2017-03-22",67.339996,67.800003,67.120003,67.440002,2606800,67.440002,0.100006000000008,0.00148509067330517,0.0100830364744059,1,5,4,3,4,1,7
"AEP","2017-03-23",67.349998,68.029999,67.230003,67.449997,2554400,67.449997,0.0999989999999968,0.00148476619108432,0.0118605787336063,1,1,1,1,3,2,10
"AEP","2017-03-27",67.940002,68.25,67.339996,67.690002,2565000,67.690002,-0.25,-0.0036797172893813,0.013443698819805,0,0,0,0,0,0,1
"AES","2017-03-20",11.48,11.48,11.14,11.2,2662800,11.2,-0.280000000000001,-0.0243902439024391,0.0303571428571428,0,0,2,-1,0,1,10
